key,price,sales
2_32_2021,10.99,133.82437742498058
2_33_2021,10.99,97.2800516371045
2_34_2021,10.99,89.59815378801724
2_35_2021,10.99,95.21393898510696
2_36_2021,10.99,106.62188804230476
2_37_2021,10.99,93.79237816322477
2_38_2021,10.99,95.92886822643455
2_39_2021,10.99,94.14356718186816
2_40_2021,10.99,118.96618401374091
2_41_2021,10.99,138.2654162270804
2_42_2021,10.99,141.60765162385627
40_32_2021,27.44,90.21349694383196
40_33_2021,27.44,24.50255221654485
40_34_2021,27.44,69.49811466722517
40_35_2021,27.44,60.26630216405846
40_36_2021,27.44,106.27787069795446
40_37_2021,27.44,89.82164022361349
40_38_2021,27.44,93.86364889439334
40_39_2021,27.44,106.54522970638287
40_40_2021,27.44,154.3904545087475
40_41_2021,27.44,100.26705033277932
40_42_2021,27.44,113.38669891530108
40_43_2021,27.44,121.40048163891052
47_38_2021,118.38,12.331289338737967
47_39_2021,118.38,17.442495958683207
47_41_2021,118.38,7.003085332270787
47_42_2021,118.38,8.795384287144099
47_43_2021,118.38,6.292541658184513
58_32_2021,197.95,21.658517303466795
58_33_2021,197.95000000000007,25.454661159514362
58_34_2021,197.95000000000016,33.56573563254851
58_35_2021,197.95,22.2496069674321
58_36_2021,197.95,21.810541547139483
58_37_2021,197.95,22.179353991603517
58_38_2021,197.95000000000002,26.214739996578754
58_39_2021,197.95,18.89477837878733
58_40_2021,197.95,18.448035310109454
58_41_2021,197.95,21.407831993103027
58_42_2021,197.95,26.86967064749169
58_43_2021,197.95,24.05625143677687
69_32_2021,34.28,18.06535263143428
69_33_2021,34.28,12.100049549438735
69_34_2021,34.28,17.663913214556356
69_35_2021,34.28,16.150052183584066
69_36_2021,34.28,9.9617367169358
69_37_2021,34.28,13.597750809604085
69_38_2021,34.28,16.642230619807854
69_39_2021,34.28,9.990966259638734
69_40_2021,34.28,8.186381469607884
69_41_2021,34.28,9.963182860475497
69_42_2021,34.28,1.9983778946378623
69_43_2021,34.28,0.3068239273534556
75_32_2021,1131.0,0.5609912162361049
75_33_2021,1131.0,0.8514951873790602
75_34_2021,1131.0,1.1362793647848008
75_35_2021,1131.0,0.426080887021472
75_36_2021,1131.0,0.1090949021770136
75_37_2021,1131.0,0.3433027941783234
75_38_2021,1131.0,0.23570267448193902
75_39_2021,1131.0,3.2883177952445006
75_40_2021,1131.0,1.968882845763882
75_41_2021,1131.0,1.6047086230480843
75_42_2021,1131.0,6.038140684469328
75_43_2021,1131.0,0.5879657386603327
89_32_2021,64.0500000000001,12.256996747092437
89_33_2021,64.05000000000003,8.704364684714912
89_34_2021,64.05,10.388608866721436
89_35_2021,64.05,9.190170252074633
89_36_2021,64.05,7.958958506767873
89_37_2021,64.05,6.734354156465635
89_38_2021,64.05,4.276379919609501
89_39_2021,64.05,5.098266083358062
89_40_2021,64.05,5.262819809593357
89_41_2021,64.05,3.8358488689343293
89_42_2021,64.05,3.6424957095357526
89_43_2021,64.05,3.4608662941280754
97_32_2021,19.95,66.37214461703886
97_33_2021,19.95,42.17762804763865
97_34_2021,19.95,40.82213262617381
97_35_2021,19.95,51.493847343796816
97_36_2021,19.95,50.43345984686617
97_37_2021,19.95,61.37582463379964
97_38_2021,19.95,65.28310699252354
97_39_2021,19.95,38.865777004686336
97_40_2021,19.95,47.29524455739808
97_41_2021,19.95,46.10601651375446
97_42_2021,19.95,59.67519898000474
97_43_2021,19.95,43.721939655516856
33_32_2021,592.82,2.5354682554092287
33_34_2021,592.82,2.668263843688521
33_35_2021,592.82,4.704892588090819
33_36_2021,592.82,2.6666442918760516
33_37_2021,592.8200000000002,7.3686537292705285
33_38_2021,592.82,2.623238703282106
33_39_2021,592.82,4.965225310932401
33_40_2021,592.82,2.431825125394807
33_41_2021,592.82,2.5868237648688157
33_42_2021,592.82,2.215162414492813
33_43_2021,592.82,4.154944716140093
27_32_2021,247.84,5.876284108861415
27_33_2021,247.84,9.422010432301898
27_34_2021,247.84,9.870371277701738
27_35_2021,247.84,9.044436620036098
27_36_2021,247.84,9.917147686178566
27_37_2021,247.84,11.658237132037918
27_38_2021,247.84,17.759520577202217
27_39_2021,247.84,12.516322964540684
27_40_2021,247.84000000000015,10.96679930400474
27_41_2021,247.84,12.948740923925502
27_42_2021,247.84,13.084360755717135
27_43_2021,247.84000000000006,15.87255430451506
24_32_2021,69.99,12.2887682252672
24_33_2021,69.99,12.045301924938626
24_34_2021,69.99,13.652190183766681
24_35_2021,69.99,19.07194499113295
24_36_2021,69.99,26.65066977110924
24_37_2021,69.99,22.10712344924079
24_38_2021,69.99,19.572155541864944
24_39_2021,69.99,18.650769588428396
24_40_2021,69.99,18.630303494620122
24_41_2021,69.99,15.260991657994982
24_42_2021,69.99,14.965067342227234
24_43_2021,69.99,13.681343179003974
21_32_2021,1055.0,7.2326714181900025
21_33_2021,1055.0,3.1451281229314048
21_34_2021,1055.0,7.747401294708228
21_35_2021,1055.0,6.698585975964865
21_36_2021,1055.0,4.129909812609355
21_37_2021,1055.0,6.54691811973304
21_38_2021,1055.0,4.533705226564136
21_39_2021,1055.0,5.970318628946856
21_40_2021,1055.0,6.515951205889383
21_41_2021,1055.0,4.259148656526211
21_42_2021,1055.0,4.997245251337688
21_43_2021,1055.0,6.665098659196766
19_32_2021,1756.5100000000002,2.9696658401584175
19_35_2021,1756.51,5.030964122073985
19_36_2021,1756.5100366782353,8.087904263937556
19_37_2021,1756.5100297908286,6.753396187542238
19_38_2021,1756.51,4.34329185556022
19_39_2021,1756.51,4.186807807091953
